pt_cnt,EL_MAX_ELGBLTY_CD_LTST,STATE_CD
105226,12,AZ
105299,35,VA
106445,44,IN
107288,55,AZ
107821,34,ME
108055,31,NC
108699,14,HI
108886,12,AR
109132,35,GA
109767,14,SC
109949,15,IN
110375,32,TX
114321,55,IA
114632,25,NY
114669,12,SC
115732,34,WI
116122,45,OH
116131,34,UT
116520,14,KY
116962,35,OK
117073,12,MS
118311,15,PA
118667,00,IL
118827,45,VA
120653,32,CA
120707,12,VA
120749,55,MD
122210,00,NJ
122399,44,AZ
123160,55,AL
124775,55,MN
125898,34,NV
126142,55,PA
126463,32,NC
127632,45,TX
127858,15,TX
132379,16,FL
134865,45,NY
136266,15,GA
139477,45,MN
139515,45,WA
139728,41,TX
143712,12,IL
143721,44,GA
146085,44,MI
146151,55,LA
147358,15,MN
147625,35,WI
148162,14,NC
149920,17,FL
150048,11,FL
150293,12,NJ
152126,35,SC
152924,22,CA
153340,15,CT
153369,14,IN
156474,55,MI
157924,12,LA
159211,45,CT
159791,12,WA
160397,34,KS
161711,12,MA
163108,34,NE
163395,14,NJ
163602,44,OH
163673,11,NY
163957,31,TX
165105,12,KY
171036,55,IL
172323,12,AL
173760,34,IA
176785,55,TX
178648,24,CA
180362,15,WI
181946,34,ID
182495,22,NY
183418,15,MI
185151,44,WV
186617,32,FL
187464,45,FL
188659,11,TX
190576,25,FL
191013,15,MD
191093,00,NC
194581,12,NC
194784,34,OR
195446,15,NC
201239,44,WA
201327,45,CA
201397,24,NY
209479,12,TN
213014,31,CA
217785,14,CT
225180,34,NM
228419,15,CO
231234,15,TN
234093,55,NJ
236679,12,MI
238597,34,MD
238962,00,GA
242587,14,GA
243124,14,MO
251607,12,GA
255160,34,TN
256370,14,PA
257158,99,WI
258205,35,TX
265226,12,OH
272602,21,NY
278127,21,CA
280062,31,FL
282247,14,MN
282697,44,FL
284871,32,PA
285787,14,AZ
297296,34,MS
297943,15,FL
303544,25,IL
307127,15,AZ
313431,14,WI
315338,14,TX
316216,14,MI
318047,34,MO
321326,45,IL
330582,34,AR
341039,12,PA
343860,44,TX
345170,14,MD
350786,34,KY
356815,34,AZ
360794,55,MA
387654,34,MA
393929,44,CA
412996,11,CA
425512,14,TN
427080,12,FL
428053,14,CO
442835,34,IN
449991,14,FL
486246,34,NJ
486319,34,AL
499331,34,SC
520630,34,OK
529855,12,TX
532818,15,NY
561074,34,WA
579565,34,LA
579734,25,CA
593709,12,NY
603785,34,VA
605647,34,PA
636016,34,MI
651873,34,NY
702469,35,OH
713685,34,GA
907770,34,NC
945494,12,CA
975671,34,FL
1008856,34,OH
1305242,15,CA
1351933,14,NY
1367149,34,CA
1525518,34,IL
1657936,55,NY
2505404,34,TX
2651888,14,CA
